Brand Name,Spec Score,Rating,Price,Tag,Processor Name,Processor Type,Processor Speed,RAM,Internal Storage,Battery Capacity,Battery Feature,SIM Type,Extra Feature,Display Size,Display Resolution,Display Feature,Memory External,OS Version,Camera,Image Preview
vivo t4 pro 5g,78,4.1,34990,rumored,octa core processor,,,8 gb ram,256 gb inbuilt,5700mAh 120W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","vo5g, wi-fi",6.74 inch,"1080 x 2408 px, 144 Hz",no punch hole,"memory card (hybrid), upto 1 tb",android v15,50 mp + 50 mp + 10 mp triple rear & 50 mp front camera,https://cdn1.smartprix.com/rx-ihcwhkeq6-w280-h280/vivo-t4-pro-5g.webp
sony xperia 1 vii,90,4.7,140990,upcoming,snapdragon 8 elite,octa core,4.32 ghz processor GHz,12 gb ram,256 gb inbuilt,5000mAh 30W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","wi-fi, nfc",6.5 inch,"1080 x 2340 px, 120 Hz",no punch hole,memory card (hybrid),android v15,48 mp + 48 mp + 12 mp triple rear & 12 mp front camera,https://cdn1.smartprix.com/rx-i8txmmuvy-w280-h280/sony-xperia-1-vii.webp
xiaomi redmi note 15,81,4.6,15990,upcoming,dimensity 6020,octa core,2.2 ghz processor GHz,8 gb ram,128 gb inbuilt,5000mAh 80W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","wi-fi, ir blaster",6.73 inch,"1080 x 2480 px, 120 Hz",with punch hole,"memory card supported, upto 1 tb",android v15,64 mp + 13 mp + 2 mp triple rear & 32 mp front camera,https://cdn1.smartprix.com/rx-ikl65vtgs-w280-h280/xiaomi-redmi-note-15.webp
infinix smart 10 plus,66,4.2,6990,upcoming,unisoc t7250,octa core,1.8 ghz processor GHz,4 gb ram,128 gb inbuilt,6000mAh 18W,Fast Charging,"dual sim, 3g, 4g, volte","wi-fi, nfc, ir blaster",6.67 inch,"720 x 1600 px, 120 Hz",with punch hole,memory card supported,android v15,8 mp rear & 8 mp front camera,https://cdn1.smartprix.com/rx-itegx5dnm-w280-h280/infinix-smart-10-plu.webp
infinix hot 60 5g,75,4.05,11990,rumored,dimensity 7050,octa core,2.6 ghz processor GHz,6 gb ram,128 gb inbuilt,5000mAh 33W,Fast Charging,"dual sim, 3g, 4g, 5g, volte",wi-fi,6.74 inch,"720 x 1600 px, 120 Hz",with punch hole,"memory card (hybrid), upto 1 tb",android v16,50 mp + depth sensor dual rear & 8 mp front camera,https://cdn1.smartprix.com/rx-ixfiddhdd-w280-h280/infinix-hot-60-5g.webp
realme 15 5g,74,4.1,19990,rumored,octa core processor,,,8 gb ram,256 gb inbuilt,5500mAh 100W,Fast Charging,"dual sim, 3g, 4g, 5g, volte",wi-fi,6.74 inch,"1080 x 2400 px, 120 Hz",with punch hole,"memory card supported, upto 1 tb",android v15,50 mp + 13 mp + 2 mp triple rear & 50 mp front camera,https://cdn1.smartprix.com/rx-iymgpzhqb-w280-h280/realme-15-5g.webp
oneplus nord ce 5 lite 5g,76,4.05,22990,rumored,snapdragon 7 gen2,octa core processor,,8 gb ram,256 gb inbuilt,5000mAh 80W,Fast Charging,"dual sim, 3g, 4g, 5g, volte",wi-fi,6.78 inch,"1080 x 2400 px, 120 Hz",with punch hole,"memory card (hybrid), upto 1 tb",android v15,50 mp + 13 mp + 2 mp triple rear & 32 mp front camera,https://cdn1.smartprix.com/rx-icrspvbtb-w280-h280/oneplus-nord-ce-5-li.webp
oneplus 14r,88,4.05,49990,rumored,snapdragon 8 elite,octa core,4.32 ghz processor GHz,12 gb ram,256 gb inbuilt,6700mAh 80W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","vo5g, wi-fi, nfc, ir blaster",6.78 inch,"1264 x 2780 px, 120 Hz",with punch hole,memory card not supported,android v16,50 mp + 50 mp + 50 mp triple rear & 32 mp front camera,https://cdn1.smartprix.com/rx-inr10lurp-w280-h280/oneplus-14r.webp
ai+ pulse,68,4.45,8999,upcoming,octa core processor,,,8 gb ram,128 gb inbuilt,5000mAh,Fast Charging,"dual sim, 3g, 4g, volte",wi-fi,6.78 inch,"2400 x 1200 px, 120 Hz",with punch hole,"memory card supported, upto 1 tb",android v15,50 mp dual rear & 8 mp front camera,https://cdn1.smartprix.com/rx-iesxlw2oh-w280-h280/ai-pulse.webp
vivo y04,66,4.45,8990,upcoming,unisoc t7225,octa core,2 ghz processor GHz,4 gb ram,64 gb inbuilt,5000mAh 18W,Fast Charging,"dual sim, 3g, 4g, volte",wi-fi,6.74 inch,"720 x 1600 px, 90 Hz",no punch hole,"memory card supported, upto 1 tb",android v14,13 mp + 0.08 mp dual rear & 5 mp front camera,https://cdn1.smartprix.com/rx-iogbyvytf-w280-h280/vivo-y04.webp
